ID,Favorite,Title,URL,Type,Audience,Age Group,Tags,Priority,Notes/Context
1,No,Zines in the Classroom - Douglas College,https://guides.douglascollege.ca/zines/Pedagogy,"How-To Guides, Lesson Plan",For Educators,,"DIY Techniques, Education, Workshop Materials",1,"examples, lesson plans, and strategies for using zines to support diverse learning outcomes and amplify underrepresented voices in the classroom."
2,No,Zine Pedagogy Links,https://libguides.gc.cuny.edu/c.php?g=660595&p=5879409,How-To Guides,For Educators,,Education,1,Collection of ~10 readings for bringing zines to the classroom
3,No,Digital Transgender Archive,https://www.digitaltransgenderarchive.net/catalog?f%5Bcollection_name_ssim%5D%5B%5D=Zines&sort=dta_sortable_date_dtsi+asc%2C+title_primary_ssort+asc,Digital Zine Collection/Library,"For Educators, For Organizers",,"Activism, LGBTQ+, Zine History",1,A searchable archive preserving zines related to transgender history and culture.
4,No,Smithsonian Zine-making tutorial,https://learninglab.si.edu/collections/For Educators-tutorial-zine-making-with-the-smithsonian/YhGZbBNw1lxgKRUI,Lesson Plan,"For Educators, For Zine-Makers",Secondary,"Education, Zine History, Social Studies",1,"Provides a tutorial for For Educatorss on how to create and teach with zines, as well as a downloadable guide for students to create their own. Available in English and Spanish"
5,No,An Introduction to Zines by The Public (Zine),https://thepublicstudio.ca/resources,How-To Guides,,,"Creative Prompts, DIY Techniques, Education",2,great introduction to zines along with other works for DIY and creative resistance.
6,No,ace zine archive,https://acezinearchive.wordpress.com/,Digital Zine Collection/Library,,,LGBTQ+,1,an archive collecting zines related to asexuality and ace-spectrum experiences.
7,No,Asian American Feminist Collection,https://www.asianamfeminism.org/resources,Digital Zine Collection/Library,,,"BIPOC, Social Justice-Broadly",2,A resource hub highlighting Asian American feminist zines.
8,No,Antiquated Future Distro,https://antiquatedfuture.com/,Distro,,,"Activism, DIY Techniques, Mental Health",3,"Activism, feminist, mental health, and DIY zines."
9,No,Black Zine Archive,https://www.morganmullings.com/black-zine-archive,Digital Zine Collection/Library,,,BIPOC,2,links to a google drive folder: https://drive.google.com/drive/folders/13KmEgvSr3Y7kYltDXV6mx5B7nunQWWZf
10,No,Berea College Zine Collection,https://libraryguides.berea.edu/c.php?g=492510&p=3809381,Digital Zine Collection/Library,,,"Activism, BIPOC, DIY Techniques, Disability Justice, Education, Indigeneity, LGBTQ+",1,"Tons of topics!! Also has this handy worksheet.
Most entries don’t seem to have digital version, but the categories for classes seem to have them!"
