ID,Timestamp,Title,URL,Type,Tags,Guide Reference,Priority?,Notes/Context,File Attachment (if applicable)
1,12/14/2024 11:51:48,9 Zines by Black and PoC Artists That You Need to Read Right Now,https://www.vice.com/en/article/brown-paper-zine-small-press-fair/,"Article, Directories",BIPOC,,2,,
2,12/13/2024 20:30:29,A brief history of zines - Duke,https://blogs.lib.unc.edu/rbc/2017/10/25/a-brief-history-of-zines/,Article,Zine History,Duke,1,,
3,12/13/2024 19:00:45,A Brief History of Zines and Why You Should Make One,https://staples-alanna.medium.com/a-brief-history-of-zines-and-why-you-should-make-one-f362b30e6d67,"Article, How-To Guides",,Chaffey College,1,,
4,12/13/2024 16:24:16,A Labor Of Love: Why Zines Will Always Be An Important Part Of Queer Culture,https://gomag.com/article/what-zines-mean-to-the-queer-community/,Article,LGBTQ+,n/a,2,,
5,12/13/2024 16:26:37,ABC No Rio,https://www.abcnorio.org/facilities/zine_library.html,Organization,"Activism, Social Justice-Broadly, Education",,1,,
6,12/13/2024 16:27:43,ace zine archive,https://acezinearchive.wordpress.com/,Digital Zine Collection/Library,LGBTQ+,,3,,
7,12/13/2024 17:24:40,An Introduction to Zines by The Public (Zine),https://issuu.com/thepublicstudio/docs/metazine-final-interactive,How-To Guides,"DIY Techniques, Education, Creative Prompts",,2,,
8,12/13/2024 19:20:06,Anchor Archive,https://anchorarchive.org/zinecollection,"Digital Zine Collection/Library, Blog/Website, Workshops",,Cornell,1,,
9,12/13/2024 17:46:34,Antiquated Future Distro,https://antiquatedfuture.com/,Distro,"Activism, DIY Techniques, Mental Health",Buffalo State,1,"Activism, feminist, mental health, and DIY zines.",
10,12/13/2024 16:29:24,Asian American Feminist Collection,https://www.asianamfeminism.org/resources,Digital Zine Collection/Library,"BIPOC, Social Justice-Broadly",,2,,
11,12/13/2024 17:17:47,Barnard. Librarian Resources,https://zines.barnard.edu/librarian-resources,Libraries,Education,,1,,
12,12/14/2024 11:31:41,"Before Blogs, There Were Zines",https://daily.jstor.org/before-blogs-there-were-zines/,Article,Zine History,,,,
